연도,월,일,순위,영화명,매출액,매출액_점유율,관객수,스크린수,상영횟수,대표국적,국적,배급사,개봉일
2020,1,22,1,남산의 부장들,41225216650,0.081,4750345,1659,140051,한국,한국,(주)쇼박스,2020-01-22T00:00:00Z
2020,8,5,2,다만 악에서 구하소서,38602260990,0.076,4357803,1998,193842,한국,한국,(주)씨제이이엔엠,2020-08-05T00:00:00Z
2020,7,15,3,반도,33072531280,0.065,3812250,2575,199048,한국,한국,(주)넥스트엔터테인먼트월드(NEW),2020-07-15T00:00:00Z
2020,1,22,4,히트맨,20614278000,0.04,2406232,1122,87782,한국,한국,롯데컬처웍스(주)롯데엔터테인먼트,2020-01-22T00:00:00Z
2020,8,26,5,테넷,18396929850,0.036,1992214,2228,164758,미국,미국,워너브러더스 코리아(주),2020-08-26T00:00:00Z
2019,12,19,6,백두산,16921016530,0.033,1962407,1241,74413,한국,한국,"(주)씨제이이엔엠,(주)덱스터스튜디오",2019-12-19T00:00:00Z
2020,6,24,7,#살아있다,15968219900,0.031,1903992,1882,137073,한국,한국,롯데컬처웍스(주)롯데엔터테인먼트,2020-06-24T00:00:00Z
2020,7,29,8,강철비2: 정상회담,14661646110,0.0289999999999999,1791533,2137,106658,한국,한국,롯데컬처웍스(주)롯데엔터테인먼트,2020-07-29T00:00:00Z
2020,9,29,9,담보,14748867550,0.0289999999999999,1719521,1342,110260,한국,한국,(주)씨제이이엔엠,2020-09-29T00:00:00Z
2020,1,8,10,닥터 두리틀,13449206760,0.026,1607082,1290,68634,미국,미국,유니버설픽쳐스인터내셔널 코리아(유),2020-01-08T00:00:00Z
2020,10,21,11,삼진그룹 영어토익반,13981414470,0.027,1571286,1615,139275,한국,한국,롯데컬처웍스(주)롯데엔터테인먼트,2020-10-21T00:00:00Z
2020,2,12,12,정직한 후보,12854297030,0.025,1538038,1187,89425,한국,한국,(주)넥스트엔터테인먼트월드(NEW),2020-02-12T00:00:00Z
2020,11,4,13,도굴,13764680410,0.027,1523514,1635,133284,한국,한국,(주)씨제이이엔엠,2020-11-04T00:00:00Z
2020,2,5,14,클로젯,10971962280,0.021,1270835,1197,71453,한국,한국,(주)씨제이이엔엠,2020-02-05T00:00:00Z
2020,8,12,15,오케이 마담,10981600110,0.022,1228968,1288,82969,한국,한국,플러스엠 엔터테인먼트,2020-08-12T00:00:00Z
2020,1,15,16,해치지않아,10154099090,0.02,1209689,1216,53441,한국,한국,(주)에이스메이커무비웍스,2020-01-15T00:00:00Z
2019,12,26,17,천문: 하늘에 묻는다,8695248070,0.017,1035024,929,43246,한국,한국,롯데컬처웍스(주)롯데엔터테인먼트,2019-12-26T00:00:00Z
2020,6,10,18,결백,7859629340,0.015,894025,1112,74532,한국,한국,"소니픽쳐스엔터테인먼트코리아주식회사극장배급지점,(주)키다리이엔티",2020-06-10T00:00:00Z
2020,2,19,19,1917,7924722960,0.016,877017,932,91511,미국,미국,(주)스마일이엔티,2020-02-19T00:00:00Z
2020,2,12,20,작은 아씨들,7283877330,0.0139999999999999,864782,1105,59781,미국,미국,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점,2020-02-12T00:00:00Z
2019,12,31,21,미드웨이,7143163010,0.0139999999999999,824836,842,32902,미국,미국,(주)누리픽쳐스,2019-12-31T00:00:00Z
2019,12,18,22,시동,6876716560,0.013,792493,825,34835,한국,한국,(주)넥스트엔터테인먼트월드(NEW),2019-12-18T00:00:00Z
2020,2,19,23,지푸라기라도 잡고 싶은 짐승들,5457014750,0.011,628977,996,65645,한국,한국,플러스엠 엔터테인먼트,2020-02-19T00:00:00Z
2020,1,22,24,미스터 주: 사라진 VIP,5071671660,0.01,603203,692,28187,한국,한국,"플러스엠 엔터테인먼트,(주)리틀빅픽쳐스",2020-01-22T00:00:00Z
2020,2,26,25,인비저블맨,5015895060,0.01,575043,776,63076,미국,미국,유니버설픽쳐스인터내셔널 코리아(유),2020-02-26T00:00:00Z
